epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2167.67,2.55618,1.53225,2.19513,0.81007,0.74812,0.82313,0.51467,2.57252,1.42633,2.22302,0.000713,0.000713,0.000713
67,2200.97,2.55513,1.52384,2.20169,0.80323,0.75413,0.82469,0.51041,2.58505,1.44279,2.23714,0.0006932,0.0006932,0.0006932
68,2233.92,2.54154,1.50444,2.19168,0.82303,0.73955,0.82615,0.51829,2.54705,1.4213,2.21795,0.0006734,0.0006734,0.0006734
69,2266.38,2.51868,1.48744,2.17519,0.82492,0.75565,0.82747,0.52182,2.54242,1.394,2.21611,0.0006536,0.0006536,0.0006536
70,2299.08,2.51702,1.46375,2.17125,0.8296,0.7378,0.82464,0.51577,2.56278,1.44896,2.22353,0.0006338,0.0006338,0.0006338
71,2331.27,2.47855,1.4625,2.16789,0.81321,0.76335,0.82612,0.52039,2.5461,1.41654,2.21148,0.000614,0.000614,0.000614
72,2362.69,2.47105,1.44405,2.15748,0.81808,0.76236,0.83029,0.52108,2.54673,1.39272,2.21403,0.0005942,0.0005942,0.0005942
73,2394.13,2.49303,1.43142,2.15589,0.80992,0.77459,0.83545,0.52993,2.50932,1.36951,2.19839,0.0005744,0.0005744,0.0005744
74,2425.24,2.46306,1.41836,2.15476,0.81506,0.76499,0.83339,0.52847,2.50996,1.38832,2.19938,0.0005546,0.0005546,0.0005546
75,2457.81,2.45135,1.41857,2.14803,0.82389,0.76744,0.83541,0.52855,2.50258,1.362,2.20056,0.0005348,0.0005348,0.0005348
76,2490.69,2.44153,1.40435,2.14011,0.82922,0.76657,0.8419,0.53605,2.49845,1.35395,2.1912,0.000515,0.000515,0.000515
77,2523.77,2.42411,1.39384,2.13871,0.83855,0.75221,0.83639,0.53491,2.49295,1.36164,2.19397,0.0004952,0.0004952,0.0004952
78,2556.83,2.39356,1.36599,2.11811,0.8395,0.77094,0.84484,0.54098,2.46737,1.32555,2.17895,0.0004754,0.0004754,0.0004754
79,2589.74,2.4124,1.3814,2.13323,0.8366,0.77236,0.8455,0.54351,2.47246,1.33253,2.18148,0.0004556,0.0004556,0.0004556
80,2623,2.38458,1.34336,2.10551,0.83771,0.77694,0.84941,0.54398,2.46009,1.30947,2.17311,0.0004358,0.0004358,0.0004358
81,2655.75,2.34981,1.33782,2.11074,0.83976,0.76986,0.845,0.54283,2.47946,1.31091,2.18969,0.000416,0.000416,0.000416
82,2688.32,2.36234,1.32705,2.1143,0.84525,0.77629,0.84966,0.55005,2.43211,1.28909,2.16375,0.0003962,0.0003962,0.0003962
83,2721.64,2.36575,1.31927,2.1037,0.84457,0.77243,0.84931,0.55171,2.43007,1.30982,2.16389,0.0003764,0.0003764,0.0003764
84,2754.87,2.34041,1.30787,2.0929,0.84263,0.77252,0.84732,0.54808,2.43592,1.30549,2.16567,0.0003566,0.0003566,0.0003566
85,2785.64,2.31638,1.29687,2.08563,0.84301,0.77217,0.84963,0.55108,2.4409,1.283,2.16355,0.0003368,0.0003368,0.0003368
86,2816.45,2.31571,1.27372,2.07143,0.84175,0.78251,0.854,0.55654,2.42526,1.28136,2.15903,0.000317,0.000317,0.000317
87,2847.97,2.30735,1.26534,2.07589,0.85935,0.77923,0.85552,0.55715,2.41541,1.26745,2.1555,0.0002972,0.0002972,0.0002972
88,2879.83,2.28816,1.27009,2.0741,0.85135,0.77989,0.8545,0.55926,2.40031,1.25825,2.14873,0.0002774,0.0002774,0.0002774
89,2911.41,2.2568,1.24526,2.07672,0.84479,0.78922,0.8573,0.56049,2.39909,1.26191,2.15325,0.0002576,0.0002576,0.0002576
90,2943.05,2.2664,1.23179,2.05913,0.85041,0.7821,0.85679,0.56249,2.39872,1.24786,2.15247,0.0002378,0.0002378,0.0002378
91,2975.41,2.25897,1.13283,2.03101,0.83955,0.79009,0.85165,0.55596,2.41681,1.25813,2.1627,0.000218,0.000218,0.000218
92,3008.35,2.21418,1.08283,2.01344,0.85927,0.77899,0.85606,0.55937,2.40848,1.25792,2.16246,0.0001982,0.0001982,0.0001982
93,3041.25,2.21505,1.06222,2.0194,0.86209,0.78808,0.85793,0.5627,2.39199,1.2303,2.15457,0.0001784,0.0001784,0.0001784
94,3074.83,2.1692,1.04293,1.99979,0.84995,0.79577,0.86031,0.56569,2.3724,1.22837,2.14632,0.0001586,0.0001586,0.0001586
95,3108.73,2.16603,1.02919,1.98833,0.85628,0.78955,0.86048,0.5678,2.36656,1.22916,2.13845,0.0001388,0.0001388,0.0001388
96,3141.71,2.16138,1.02825,1.98507,0.85975,0.79613,0.86535,0.57271,2.36346,1.20829,2.1339,0.000119,0.000119,0.000119
97,3174.24,2.15505,1.01414,1.99175,0.8604,0.79641,0.86519,0.57295,2.35447,1.19865,2.13428,9.92e-05,9.92e-05,9.92e-05
98,3208.14,2.15964,1.0208,1.99544,0.86043,0.79561,0.86548,0.57412,2.34717,1.20016,2.13125,7.94e-05,7.94e-05,7.94e-05
99,3240.62,2.12039,0.9915,1.9801,0.86327,0.79659,0.8673,0.57552,2.34703,1.1957,2.13209,5.96e-05,5.96e-05,5.96e-05
100,3272.79,2.1354,0.99583,1.98535,0.85708,0.80003,0.86748,0.57762,2.33978,1.18749,2.12684,3.98e-05,3.98e-05,3.98e-05
