epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,769.807,2.86246,2.00079,2.37011,0.63249,0.58847,0.59767,0.2964,3.41699,2.62297,2.75971,0.0012377,0.0012377,0.0012377
79,778.469,2.9033,2.11077,2.39291,0.61837,0.58373,0.60328,0.29732,3.41162,2.68526,2.73529,0.0012278,0.0012278,0.0012278
80,788.096,2.8144,1.93666,2.35281,0.65231,0.55924,0.60113,0.2987,3.40755,2.74092,2.73365,0.0012179,0.0012179,0.0012179
81,797.998,2.83247,1.89773,2.32282,0.56126,0.6248,0.58408,0.29524,3.42051,2.73738,2.75057,0.001208,0.001208,0.001208
82,807.089,2.72518,1.90548,2.35005,0.55147,0.50948,0.50423,0.24728,3.52562,3.18809,2.83672,0.0011981,0.0011981,0.0011981
83,816.042,2.78143,1.96048,2.34235,0.59127,0.57188,0.58173,0.28921,3.43279,2.82625,2.76561,0.0011882,0.0011882,0.0011882
84,824.868,2.81191,1.97701,2.34428,0.64014,0.57583,0.60937,0.30746,3.36049,2.67073,2.70424,0.0011783,0.0011783,0.0011783
85,835.22,2.80661,2.0134,2.35971,0.64814,0.53397,0.58191,0.2942,3.41531,2.70491,2.71875,0.0011684,0.0011684,0.0011684
86,845.342,2.78422,1.96926,2.34941,0.62442,0.54739,0.57058,0.28656,3.44408,2.7135,2.76488,0.0011585,0.0011585,0.0011585
87,855.147,2.77982,1.93406,2.31932,0.62312,0.58215,0.59001,0.30137,3.39025,2.64221,2.75097,0.0011486,0.0011486,0.0011486
88,864.686,2.7668,1.8931,2.32651,0.62537,0.56477,0.58572,0.30249,3.42161,2.67026,2.77698,0.0011387,0.0011387,0.0011387
89,873.659,2.81244,1.8782,2.33975,0.62362,0.55134,0.56362,0.28641,3.49424,2.80529,2.82627,0.0011288,0.0011288,0.0011288
90,882.724,2.71294,1.85826,2.31407,0.6331,0.58057,0.57762,0.30148,3.37866,2.68325,2.74413,0.0011189,0.0011189,0.0011189
91,891.735,2.74231,1.90338,2.34994,0.64598,0.5477,0.58295,0.2886,3.42061,2.67875,2.75138,0.001109,0.001109,0.001109
92,901.132,2.71907,1.87378,2.31086,0.62524,0.58136,0.59126,0.30101,3.45234,2.54821,2.79029,0.0010991,0.0010991,0.0010991
93,910.54,2.74219,1.83666,2.30534,0.6485,0.57899,0.61817,0.31506,3.44486,2.51008,2.78182,0.0010892,0.0010892,0.0010892
94,920.619,2.68367,1.7769,2.28628,0.68089,0.49921,0.56967,0.29243,3.41492,3.02158,2.7765,0.0010793,0.0010793,0.0010793
95,930.168,2.68364,1.78251,2.2956,0.61714,0.57677,0.59622,0.30376,3.41977,2.72304,2.75948,0.0010694,0.0010694,0.0010694
